useridentifier,;Name,;Store Number,;Phone Number,;Street Combined,;Street 1,;City,;Country Subdivision,;Country,;Postal Code,;Coordinates,;Latitude,;Longitude,
5098,;Damansara Uptown 1,;33951-95923,;03-77318662,;110G Jalan SS 21//39 Damansara Utama,;110G Jalan SS 21//39 Damansara Utama,;Petaling Jaya,;10,;MY,;47400,;(3.1332700252533 101.621452331543),;3.133270025253296,;101.62145233154297,
5101,;Mahkota Parade,;33958-98092,;06282 0721,;No. 1 Jalan Merdeka Lot No. G17/EG2,;No. 1 Jalan Merdeka,;Melaka,;4,;MY,;75000,;(2.18920803070068 102.250045776367),;2.189208030700684,;102.25004577636719,
5102,;Bangsar Village 1,;33952-96324,;03-22013935,;Jalan Telawi 1 Bangsar Baru Lot G7 Ground Floor,;Jalan Telawi 1 Bangsar Baru,;Kuala Lumpur,;14,;MY,;59100,;(3.13070297241211 101.671348571777),;3.130702972412109,;101.67134857177734,
5103,;Gurney Plaza,;33937-93418,;04-2268858,;Plaza Gurney Persiaran Gurney Unit 170-G-39,;Plaza Gurney Persiaran Gurney,;Penang,;7,;MY,;10250,;(5.43825578689575 100.309814453125),;5.438255786895752,;100.309814453125,
5104,;AEON Alpha Angle,;33934-91182,;03-41492842,;Jalan R1 Bandar Baru Wangsa Maju,;Jalan R1,;Kuala Lumpur,;14,;MY,;53300,;(3.20253491401672 101.733840942383),;3.202534914016724,;101.73384094238281,
5106,;Plaza Shah Alam,;33956-95094,;035510 1518,;No. 2 Jalan  Tengku Ampuan Zabedah E9/E Seksyen9Lot EL2Level 2Plaza Shah Alam,;No. 2 Jalan  Tengku Ampuan Zabedah E9/E,;Shah Alam,;10,;MY,;40100,;(3.08495092391968 101.522727966309),;3.084950923919678,;101.52272796630859,
5107,;The Curve,;33955-97816,;03-77315662,;Mutiara Damansara G88 Ground Floor,;Mutiara Damansara,;Petaling Jaya,;10,;MY,;47800,;(3.158047914505 101.610748291016),;3.158047914505005,;101.61074829101563,
5108,;Centrepoint BU,;30776-101271,;03-77313861,;Lebuh Bandar Utama Bandar Utama Lot G109 & G110 Ground Floor,;Lebuh Bandar Utama Bandar Utama,;Petaling Jaya,;10,;MY,;47800,;(3.1378390789032 101.610275268555),;3.137839078903198,;101.61027526855469,
5109,;Menara Maybank,;33936-91763,;03-20312858,;No. 100 Jalan Tun Perak Foyer Area 1st Floor,;No. 100 Jalan Tun Perak,;Kuala Lumpur,;14,;MY,;50050,;(3.14605593681335 101.697952270508),;3.146055936813354,;101.69795227050781,
5114,;AEON Kepong,;33944-94464,;03-62423828,;Jalan Kepong Lot G36,;Jalan Kepong,;Kuala Lumpur,;14,;MY,;52100,;(3.21429300308228 101.640327453613),;3.214293003082275,;101.64032745361328,
5115,;33945,;33945-94400,;03-21101183,;No 7 Jalan 1/77 Off Jalan Bukit Bintang G-28 Ground Floor,;No 7 Jalan 1/77 Off Jalan Bukit Bintang,;Kuala Lumpur,;14,;MY,;55100,;(3.14489006996155 101.709968566895),;3.144890069961548,;101.70996856689453,
5116,;Genting 3,;33946-94857,;03-61011858,;Genting Highlands Hotel Lot H/LG 6.00 Lower Ground Floor,;Genting Highlands Hotel,;Genting Highland,;7,;MY,;69000,;(3.42159008979797 101.79369354248),;3.421590089797974,;101.79369354248047,
5117,;IKANO Power Center,;33941-93902,;03-77106842,;No. 2 Jalan PJU 7/2 Mutiara Damasara Unit G22 Ground Floor,;No. 2 Jalan PJU 7/2 Mutiara Damasara,;Kuala Lumpur,;14,;MY,;47800,;(3.15855002403259 101.611503601074),;3.158550024032593,;101.61150360107422,
5118,;Bandar Utama 2,;33942-93901,;03-77322568,;Lebuh Bandar Utama Lot F352 1st Floor,;Lebuh Bandar Utama,;Petaling Jaya,;10,;MY,;47800,;(3.21374797821045 101.63990020752),;3.213747978210449,;101.63990020751953,
5119,;KLCC 2,;33940-93879,;03-21813037,;Kuala Lumpur City Centre Lot 327 & K33B 3rd Floor,;Kuala Lumpur City Centre,;Kuala Lumpur,;14,;MY,;50088,;(3.15779304504395 101.712440490723),;3.157793045043945,;101.71244049072266,
